States,Years,Quarter,Brands,Transaction_count,Percentage
Andaman & Nicobar,2021,3,Oppo,5853,0.0873817
Andaman & Nicobar,2021,3,Realme,4808,0.0717805
Andaman & Nicobar,2021,3,OnePlus,2306,0.0344272
Andaman & Nicobar,2021,3,Huawei,1567,0.0233943
Andaman & Nicobar,2021,3,Apple,1283,0.0191544
Andaman & Nicobar,2021,3,Tecno,1178,0.0175868
Andaman & Nicobar,2021,3,Motorola,1017,0.0151832
Andaman & Nicobar,2021,3,Others,4593,0.0685707
Andaman & Nicobar,2021,4,Vivo,17597,0.245152
Andaman & Nicobar,2021,4,Xiaomi,16968,0.236389
Andaman & Nicobar,2021,4,Samsung,12574,0.175174
Andaman & Nicobar,2021,4,Oppo,6127,0.085358
Andaman & Nicobar,2021,4,Realme,5830,0.0812204
Andaman & Nicobar,2021,4,OnePlus,2691,0.0374896
Andaman & Nicobar,2021,4,Apple,1490,0.0207579
Andaman & Nicobar,2021,4,Huawei,1459,0.020326
Andaman & Nicobar,2021,4,Tecno,1417,0.0197409
Andaman & Nicobar,2021,4,Motorola,1055,0.0146977
Andaman & Nicobar,2021,4,Others,4572,0.0636946
Andaman & Nicobar,2022,1,Vivo,18688,0.244966
Andaman & Nicobar,2022,1,Xiaomi,17957,0.235384
Andaman & Nicobar,2022,1,Samsung,12955,0.169817
Andaman & Nicobar,2022,1,Realme,6769,0.0887296
Andaman & Nicobar,2022,1,Oppo,6461,0.0846922
Andaman & Nicobar,2022,1,OnePlus,3005,0.0393902
Andaman & Nicobar,2022,1,Tecno,1770,0.0232016
Andaman & Nicobar,2022,1,Apple,1634,0.0214188
Andaman & Nicobar,2022,1,Huawei,1441,0.0188889
Andaman & Nicobar,2022,1,Motorola,1050,0.0137636
Andaman & Nicobar,2022,1,Others,4558,0.0597473
Andhra Pradesh,2018,1,Xiaomi,836581,0.25074
Andhra Pradesh,2018,1,Samsung,683687,0.204915
Andhra Pradesh,2018,1,Vivo,425959,0.127668
Andhra Pradesh,2018,1,Oppo,304487,0.0912608
Andhra Pradesh,2018,1,Realme,236646,0.0709275
Andhra Pradesh,2018,1,Motorola,129739,0.0388853
Andhra Pradesh,2018,1,OnePlus,129421,0.03879
Andhra Pradesh,2018,1,Apple,123274,0.0369477
Andhra Pradesh,2018,1,Lenovo,84138,0.0252178
Andhra Pradesh,2018,1,Huawei,76654,0.0229747
Andhra Pradesh,2018,1,Others,305864,0.0916735
Andhra Pradesh,2018,2,Xiaomi,1113800,0.25299
Andhra Pradesh,2018,2,Samsung,903290,0.205175
Andhra Pradesh,2018,2,Vivo,586965,0.133324
Andhra Pradesh,2018,2,Oppo,410549,0.0932528
Andhra Pradesh,2018,2,Realme,305964,0.0694972
Andhra Pradesh,2018,2,Motorola,169847,0.0385793
Andhra Pradesh,2018,2,OnePlus,155418,0.0353019
Andhra Pradesh,2018,2,Apple,151847,0.0344908
Andhra Pradesh,2018,2,Lenovo,107441,0.0244043
Andhra Pradesh,2018,2,Huawei,102929,0.0233795
Andhra Pradesh,2018,2,Others,394490,0.0896051
Andhra Pradesh,2018,3,Xiaomi,1385112,0.255197
Andhra Pradesh,2018,3,Samsung,1103186,0.203254
Andhra Pradesh,2018,3,Vivo,761793,0.140355
Andhra Pradesh,2018,3,Oppo,518120,0.0954599
Andhra Pradesh,2018,3,Realme,379712,0.0699592
Andhra Pradesh,2018,3,Motorola,203756,0.0375406
Andhra Pradesh,2018,3,OnePlus,181364,0.033415
Andhra Pradesh,2018,3,Apple,175343,0.0323057
Andhra Pradesh,2018,3,Huawei,134429,0.0247676
Andhra Pradesh,2018,3,Lenovo,122489,0.0225677
Andhra Pradesh,2018,3,Others,462313,0.0851779
Andhra Pradesh,2018,4,Xiaomi,1753802,0.255753
Andhra Pradesh,2018,4,Samsung,1388061,0.202418
Andhra Pradesh,2018,4,Vivo,1011185,0.147459
Andhra Pradesh,2018,4,Oppo,675093,0.0984472
Andhra Pradesh,2018,4,Realme,476746,0.0695228
Andhra Pradesh,2018,4,Motorola,250601,0.0365446
Andhra Pradesh,2018,4,OnePlus,210161,0.0306473
Andhra Pradesh,2018,4,Apple,209737,0.0305855
Andhra Pradesh,2018,4,Huawei,176237,0.0257002
Andhra Pradesh,2018,4,Lenovo,149583,0.0218133
Andhra Pradesh,2018,4,Others,556203,0.0811098
Andhra Pradesh,2019,1,Xiaomi,2110547,0.254804
Andhra Pradesh,2019,1,Samsung,1688342,0.203832
Andhra Pradesh,2019,1,Vivo,1262871,0.152465
Andhra Pradesh,2019,1,Oppo,835541,0.100874
Andhra Pradesh,2019,1,Realme,564832,0.0681916
Andhra Pradesh,2019,1,Motorola,291830,0.0352323
Andhra Pradesh,2019,1,Apple,241108,0.0291087
Andhra Pradesh,2019,1,OnePlus,237269,0.0286452
Andhra Pradesh,2019,1,Huawei,220082,0.0265703
Andhra Pradesh,2019,1,Lenovo,171471,0.0207015
Andhra Pradesh,2019,1,Others,659126,0.0795756
Andhra Pradesh,2019,2,Xiaomi,2389374,0.254486
Andhra Pradesh,2019,2,Samsung,1914378,0.203896
Andhra Pradesh,2019,2,Vivo,1466695,0.156214
Andhra Pradesh,2019,2,Oppo,963352,0.102604
Andhra Pradesh,2019,2,Realme,641519,0.0683266
Andhra Pradesh,2019,2,Motorola,324778,0.0345913
Andhra Pradesh,2019,2,Apple,264860,0.0282096
Andhra Pradesh,2019,2,OnePlus,254273,0.027082
Andhra Pradesh,2019,2,Huawei,250859,0.0267184
Andhra Pradesh,2019,2,Lenovo,189151,0.020146
Andhra Pradesh,2019,2,Others,729764,0.0777254
Andhra Pradesh,2019,3,Xiaomi,2656468,0.253996
Andhra Pradesh,2019,3,Samsung,2123659,0.203052
Andhra Pradesh,2019,3,Vivo,1674109,0.160069
Andhra Pradesh,2019,3,Oppo,1087660,0.103996
Andhra Pradesh,2019,3,Realme,727964,0.0696037
Andhra Pradesh,2019,3,Motorola,348910,0.0333608
Andhra Pradesh,2019,3,Apple,286412,0.0273851
Andhra Pradesh,2019,3,Huawei,282587,0.0270193
Andhra Pradesh,2019,3,OnePlus,271100,0.025921
Andhra Pradesh,2019,3,Lenovo,194180,0.0185664
Andhra Pradesh,2019,3,Others,805644,0.077031
Andhra Pradesh,2019,4,Xiaomi,2985953,0.253953
Andhra Pradesh,2019,4,Samsung,2379139,0.202344
Andhra Pradesh,2019,4,Vivo,1922141,0.163477
Andhra Pradesh,2019,4,Oppo,1241235,0.105566
Andhra Pradesh,2019,4,Realme,844668,0.0718384
Andhra Pradesh,2019,4,Motorola,381692,0.0324626
Andhra Pradesh,2019,4,Huawei,317290,0.0269853
Andhra Pradesh,2019,4,Apple,308354,0.0262253
Andhra Pradesh,2019,4,OnePlus,286412,0.0243591
Andhra Pradesh,2019,4,Lenovo,208785,0.017757
Andhra Pradesh,2019,4,Others,882214,0.0750317
Andhra Pradesh,2020,1,Xiaomi,3307542,0.253995
Andhra Pradesh,2020,1,Samsung,2622762,0.201409
Andhra Pradesh,2020,1,Vivo,2165012,0.166257
Andhra Pradesh,2020,1,Oppo,1387060,0.106516
Andhra Pradesh,2020,1,Realme,960418,0.0737532
Andhra Pradesh,2020,1,Motorola,411062,0.0315666
Andhra Pradesh,2020,1,Huawei,348324,0.0267488
Andhra Pradesh,2020,1,Apple,329329,0.0252901
Andhra Pradesh,2020,1,OnePlus,298911,0.0229542
Andhra Pradesh,2020,1,Lenovo,227154,0.0174438
Andhra Pradesh,2020,1,Others,964486,0.0740655
Andhra Pradesh,2020,2,Xiaomi,3635594,0.253888
Andhra Pradesh,2020,2,Samsung,2888149,0.201691
Andhra Pradesh,2020,2,Vivo,2409399,0.168258
Andhra Pradesh,2020,2,Oppo,1535129,0.107204
Andhra Pradesh,2020,2,Realme,1072165,0.0748736
Andhra Pradesh,2020,2,Motorola,445380,0.0311027
Andhra Pradesh,2020,2,Huawei,379220,0.0264824
Andhra Pradesh,2020,2,Apple,348938,0.0243677
Andhra Pradesh,2020,2,OnePlus,309208,0.0215932
Andhra Pradesh,2020,2,Lenovo,243288,0.0169898
Andhra Pradesh,2020,2,Others,1053205,0.0735495
Andhra Pradesh,2020,3,Xiaomi,3978789,0.253549
Andhra Pradesh,2020,3,Samsung,3154020,0.20099
Andhra Pradesh,2020,3,Vivo,2687996,0.171293
Andhra Pradesh,2020,3,Oppo,1695723,0.10806
Andhra Pradesh,2020,3,Realme,1207622,0.0769558
Andhra Pradesh,2020,3,Motorola,477313,0.0304168
Andhra Pradesh,2020,3,Huawei,408520,0.026033
