States,Years,Quarter,District,Transaction_count,Transaction_amount
Rajasthan,2024,4,ajmer district,65076469,97434600000.0
Rajasthan,2024,4,beawar district,29531817,43837800000.0
Rajasthan,2024,4,balotra district,23986641,35253300000.0
Rajasthan,2024,4,hanumangarh district,33068339,55040100000.0
Rajasthan,2024,4,sanchore district,12119372,21220000000.0
Rajasthan,2024,4,rajsamand district,20749530,29663400000.0
Rajasthan,2024,4,bundi district,21745366,27133100000.0
Rajasthan,2024,4,shahpura district,19344146,26071000000.0
Rajasthan,2024,4,jhunjhunu district,41103359,70939000000.0
Rajasthan,2024,4,anupgarh district,18653352,27407800000.0
Rajasthan,2024,4,pali district,28090820,39987700000.0
Rajasthan,2024,4,churu district,35970310,64002100000.0
Rajasthan,2024,4,deedwana kuchaman district,34090836,59389700000.0
Rajasthan,2024,4,banswara district,17368894,20067100000.0
Rajasthan,2024,4,gangapur city district,19152729,23122600000.0
Rajasthan,2024,4,dungarpur district,9466218,12780500000.0
Rajasthan,2024,4,jodhpur district,69133490,95763100000.0
Rajasthan,2024,4,karauli district,22013619,27370000000.0
Rajasthan,2024,4,udaipur district,56852827,67449100000.0
Rajasthan,2024,4,dausa district,47956868,60267400000.0
Rajasthan,2024,4,bharatpur district,30939023,38189200000.0
Rajasthan,2024,4,kotputli behror district,45063839,66375900000.0
Rajasthan,2024,4,chittorgarh district,38669877,53572600000.0
Rajasthan,2024,4,pratapgarh district,11546429,13895400000.0
Rajasthan,2024,4,sawai madhopur district,18242197,22032600000.0
Rajasthan,2024,4,jalore district,13899079,22602300000.0
Rajasthan,2024,4,bikaner district,57079577,85445000000.0
Rajasthan,2024,4,sikar district,65117483,106894000000.0
Rajasthan,2024,4,dholpur district,21661933,28076900000.0
Rajasthan,2024,4,sirohi district,17418765,24163800000.0
Rajasthan,2024,4,jaisalmer district,25331617,36555900000.0
Rajasthan,2024,4,jaipur rural district,94887359,143651000000.0
Rajasthan,2024,4,jhalawar district,24623284,33470200000.0
Rajasthan,2024,4,alwar district,61265025,76097100000.0
Rajasthan,2024,4,salumber district,4958070,6786440000.0
Rajasthan,2024,4,deeg district,16192842,20479100000.0
Rajasthan,2024,4,kota district,78652857,91296200000.0
Sikkim,2018,1,south district,11355,16098300.0
Sikkim,2018,1,west district,4845,7468490.0
Sikkim,2018,1,east district,24432,35907400.0
Sikkim,2018,1,north district,3446,5176780.0
Sikkim,2018,2,south district,16740,27651600.0
Sikkim,2018,2,west district,10671,19368400.0
Sikkim,2018,2,east district,40432,83823700.0
Sikkim,2018,2,north district,6735,12849400.0
Sikkim,2018,3,south district,24662,40036400.0
Sikkim,2018,3,west district,14121,33797900.0
Sikkim,2018,3,east district,59571,133322000.0
Sikkim,2018,3,north district,10146,27923800.0
Sikkim,2018,4,south district,34495,60113700.0
Sikkim,2018,4,west district,19567,51859400.0
Sikkim,2018,4,east district,84485,216960000.0
Sikkim,2018,4,north district,15986,54208000.0
Sikkim,2019,1,south district,47506,76869300.0
Sikkim,2019,1,west district,21489,46329200.0
Sikkim,2019,1,east district,155482,291846000.0
Sikkim,2019,1,north district,15810,42949500.0
Sikkim,2019,2,south district,45712,82937900.0
Sikkim,2019,2,west district,26024,63325600.0
Sikkim,2019,2,east district,297652,538260000.0
Sikkim,2019,2,north district,18856,54371300.0
Sikkim,2019,3,south district,61142,106416000.0
Sikkim,2019,3,west district,33550,66514100.0
Sikkim,2019,3,east district,429201,643298000.0
Sikkim,2019,3,north district,28543,68488400.0
Sikkim,2019,4,south district,73099,121803000.0
Sikkim,2019,4,west district,43955,92445300.0
Sikkim,2019,4,east district,616761,877637000.0
Sikkim,2019,4,north district,33255,84624200.0
Sikkim,2020,1,south district,82456,138401000.0
Sikkim,2020,1,west district,49913,100982000.0
Sikkim,2020,1,east district,360279,729478000.0
Sikkim,2020,1,north district,35470,84615300.0
Sikkim,2020,2,south district,95669,152838000.0
Sikkim,2020,2,west district,69860,121266000.0
Sikkim,2020,2,east district,304581,653854000.0
Sikkim,2020,2,north district,47621,126662000.0
Sikkim,2020,3,south district,104888,202497000.0
Sikkim,2020,3,west district,79994,165556000.0
Sikkim,2020,3,east district,353881,869648000.0
Sikkim,2020,3,north district,57672,163225000.0
Sikkim,2020,4,south district,130339,292805000.0
Sikkim,2020,4,west district,95163,245657000.0
Sikkim,2020,4,east district,428732,1129630000.0
Sikkim,2020,4,north district,80801,251186000.0
Sikkim,2021,1,south district,127233,310129000.0
Sikkim,2021,1,west district,88532,254432000.0
Sikkim,2021,1,east district,516158,1432660000.0
Sikkim,2021,1,north district,68266,220449000.0
Sikkim,2021,2,south district,157530,344012000.0
Sikkim,2021,2,west district,102322,248943000.0
Sikkim,2021,2,east district,635504,1575870000.0
Sikkim,2021,2,north district,81358,256077000.0
Sikkim,2021,3,south district,188063,416609000.0
Sikkim,2021,3,west district,116665,312940000.0
Sikkim,2021,3,east district,757493,1937910000.0
Sikkim,2021,3,north district,98373,321881000.0
Sikkim,2021,4,south district,238464,546712000.0
Sikkim,2021,4,west district,146397,436366000.0
Sikkim,2021,4,east district,1071092,2791930000.0
Sikkim,2021,4,north district,128392,421773000.0
Sikkim,2022,1,south district,281076,619439000.0
Sikkim,2022,1,west district,165446,468296000.0
Sikkim,2022,1,east district,1173942,2887890000.0
Sikkim,2022,1,north district,123838,391802000.0
Sikkim,2022,2,south district,391808,756331000.0
Sikkim,2022,2,west district,215921,578171000.0
Sikkim,2022,2,east district,1540255,3736100000.0
Sikkim,2022,2,north district,174097,540506000.0
Sikkim,2022,3,south district,406488,760409000.0
Sikkim,2022,3,west district,204845,503544000.0
Sikkim,2022,3,east district,1604446,3375010000.0
Sikkim,2022,3,north district,180979,523915000.0
Sikkim,2022,4,south district,410951,731152000.0
Sikkim,2022,4,west district,222875,569473000.0
Sikkim,2022,4,east district,2227237,4615050000.0
Sikkim,2022,4,north district,197276,542708000.0
Sikkim,2023,1,south district,686864,1130110000.0
Sikkim,2023,1,west district,368967,853505000.0
Sikkim,2023,1,east district,2050840,4070140000.0
Sikkim,2023,1,north district,289457,708807000.0
Sikkim,2023,2,south district,866355,1313890000.0
Sikkim,2023,2,west district,468073,1009670000.0
Sikkim,2023,2,east district,2681672,5266690000.0
Sikkim,2023,2,north district,396867,990094000.0
Sikkim,2023,3,south district,981509,1367210000.0
Sikkim,2023,3,west district,518786,961550000.0
Sikkim,2023,3,east district,2877345,4826860000.0
Sikkim,2023,3,north district,427297,951613000.0
Sikkim,2023,4,south district,992717,1473750000.0
Sikkim,2023,4,west district,559933,1099390000.0
Sikkim,2023,4,east district,2941915,5169010000.0
Sikkim,2023,4,north district,362759,848460000.0
Sikkim,2024,1,south district,1210994,1648550000.0
Sikkim,2024,1,west district,638357,1126100000.0
Sikkim,2024,1,east district,3488191,5716200000.0
Sikkim,2024,1,north district,482604,964871000.0
Sikkim,2024,2,south district,1459366,1811620000.0
Sikkim,2024,2,west district,827782,1370030000.0
Sikkim,2024,2,east district,4331593,6980030000.0
Sikkim,2024,2,north district,569581,1134830000.0
Sikkim,2024,3,pakyong district,1323308,1584620000.0
Sikkim,2024,3,soreng district,351524,464085000.0
Sikkim,2024,3,namchi district,1350881,1562470000.0
Sikkim,2024,3,gangtok district,3579312,5111430000.0
Sikkim,2024,3,mangan district,605337,1135910000.0
Sikkim,2024,3,gyalshing district,503419,711320000.0
Sikkim,2024,4,pakyong district,1444506,1821110000.0
Sikkim,2024,4,soreng district,402050,554534000.0
Sikkim,2024,4,namchi district,1548124,1869870000.0
Sikkim,2024,4,gangtok district,4189043,6157550000.0
Sikkim,2024,4,mangan district,709258,1284720000.0
Sikkim,2024,4,gyalshing district,623889,953321000.0
Tamil Nadu,2018,1,tiruchirappalli district,149186,262528000.0
Tamil Nadu,2018,1,ramanathapuram district,24581,45696800.0
Tamil Nadu,2018,1,krishnagiri district,153618,253907000.0
Tamil Nadu,2018,1,cuddalore district,89956,139521000.0
Tamil Nadu,2018,1,kancheepuram district,308279,538410000.0
Tamil Nadu,2018,1,tiruppur district,239740,423272000.0
Tamil Nadu,2018,1,dharmapuri district,63975,104176000.0
Tamil Nadu,2018,1,thoothukkudi district,37172,55782900.0
Tamil Nadu,2018,1,thanjavur district,88574,145796000.0
Tamil Nadu,2018,1,madurai district,129858,232151000.0
Tamil Nadu,2018,1,tiruvannamalai district,72372,91216200.0
Tamil Nadu,2018,1,salem district,219916,375964000.0
Tamil Nadu,2018,1,nagapattinam district,25394,46160200.0
Tamil Nadu,2018,1,tirupathur district,38799,56805000.0
Tamil Nadu,2018,1,ariyalur district,16068,28339500.0
Tamil Nadu,2018,1,chennai district,2656230,4281140000.0
Tamil Nadu,2018,1,the nilgiris district,29334,55552400.0
Tamil Nadu,2018,1,erode district,114560,198072000.0
Tamil Nadu,2018,1,karur district,42198,76141500.0
Tamil Nadu,2018,1,kallakkurichi district,32666,53643300.0
Tamil Nadu,2018,1,viluppuram district,59239,96341200.0
Tamil Nadu,2018,1,pudukkottai district,35973,65083500.0
Tamil Nadu,2018,1,perambalur district,13293,19364200.0
Tamil Nadu,2018,1,coimbatore district,533919,913824000.0
Tamil Nadu,2018,1,virudhunagar district,40154,64399900.0
Tamil Nadu,2018,1,dindigul district,65863,118771000.0
Tamil Nadu,2018,1,sivaganga district,34130,63944300.0
Tamil Nadu,2018,1,tenkasi district,24822,39439600.0
Tamil Nadu,2018,1,chengalpattu district,569483,1030190000.0
Tamil Nadu,2018,1,kanniyakumari district,44474,72304900.0
Tamil Nadu,2018,1,tirunelveli district,50976,96760000.0
Tamil Nadu,2018,1,thiruvallur district,413340,730210000.0
Tamil Nadu,2018,1,theni district,33275,54074400.0
Tamil Nadu,2018,1,ranipet district,50346,68782400.0
Tamil Nadu,2018,1,namakkal district,99497,178023000.0
Tamil Nadu,2018,1,vellore district,104902,153394000.0
Tamil Nadu,2018,1,thiruvarur district,20460,32378300.0
Tamil Nadu,2018,2,tiruchirappalli district,245903,507250000.0
Tamil Nadu,2018,2,ramanathapuram district,41164,95315500.0
Tamil Nadu,2018,2,krishnagiri district,240421,518922000.0
Tamil Nadu,2018,2,cuddalore district,135570,254107000.0
Tamil Nadu,2018,2,kancheepuram district,460276,926688000.0
Tamil Nadu,2018,2,tiruppur district,391330,829169000.0
Tamil Nadu,2018,2,dharmapuri district,98177,198033000.0
Tamil Nadu,2018,2,thoothukkudi district,59562,110287000.0
Tamil Nadu,2018,2,thanjavur district,124870,260046000.0
Tamil Nadu,2018,2,madurai district,213788,460416000.0
Tamil Nadu,2018,2,tiruvannamalai district,103318,171723000.0
Tamil Nadu,2018,2,salem district,333175,709543000.0
Tamil Nadu,2018,2,nagapattinam district,41103,86466000.0
Tamil Nadu,2018,2,tirupathur district,58068,115250000.0
Tamil Nadu,2018,2,ariyalur district,26224,55081300.0
Tamil Nadu,2018,2,chennai district,3719593,7305360000.0
Tamil Nadu,2018,2,the nilgiris district,55793,110994000.0
Tamil Nadu,2018,2,erode district,175257,367928000.0
Tamil Nadu,2018,2,karur district,66337,137504000.0
Tamil Nadu,2018,2,kallakkurichi district,52388,103911000.0
Tamil Nadu,2018,2,viluppuram district,90084,170474000.0
Tamil Nadu,2018,2,pudukkottai district,58403,120759000.0
Tamil Nadu,2018,2,perambalur district,20977,37294400.0
Tamil Nadu,2018,2,coimbatore district,871802,1722110000.0
Tamil Nadu,2018,2,virudhunagar district,65145,129048000.0
Tamil Nadu,2018,2,dindigul district,115319,243396000.0
Tamil Nadu,2018,2,sivaganga district,55874,121657000.0
Tamil Nadu,2018,2,tenkasi district,44391,87372000.0
Tamil Nadu,2018,2,chengalpattu district,829689,1681240000.0
Tamil Nadu,2018,2,kanniyakumari district,72489,140283000.0
Tamil Nadu,2018,2,tirunelveli district,78667,174733000.0
Tamil Nadu,2018,2,thiruvallur district,615860,1281040000.0
Tamil Nadu,2018,2,theni district,51064,112378000.0
Tamil Nadu,2018,2,ranipet district,71093,136204000.0
Tamil Nadu,2018,2,namakkal district,145248,321879000.0
Tamil Nadu,2018,2,vellore district,130871,264336000.0
Tamil Nadu,2018,2,thiruvarur district,32835,57642100.0
Tamil Nadu,2018,3,tiruchirappalli district,342744,723074000.0
Tamil Nadu,2018,3,ramanathapuram district,60779,131442000.0
Tamil Nadu,2018,3,krishnagiri district,421247,853576000.0
Tamil Nadu,2018,3,cuddalore district,187987,378478000.0
Tamil Nadu,2018,3,kancheepuram district,766192,1416880000.0
Tamil Nadu,2018,3,tiruppur district,583538,1259740000.0
Tamil Nadu,2018,3,dharmapuri district,147916,329349000.0
Tamil Nadu,2018,3,thoothukkudi district,89821,169828000.0
Tamil Nadu,2018,3,thanjavur district,278585,420498000.0
Tamil Nadu,2018,3,madurai district,322515,702348000.0
Tamil Nadu,2018,3,tiruvannamalai district,147281,281482000.0
Tamil Nadu,2018,3,salem district,484460,980781000.0
Tamil Nadu,2018,3,nagapattinam district,62869,130013000.0
Tamil Nadu,2018,3,tirupathur district,81720,169305000.0
Tamil Nadu,2018,3,ariyalur district,38743,96680800.0
Tamil Nadu,2018,3,chennai district,5887343,10122300000.0
Tamil Nadu,2018,3,the nilgiris district,103580,182889000.0
Tamil Nadu,2018,3,erode district,266272,545919000.0
Tamil Nadu,2018,3,karur district,96467,215594000.0
Tamil Nadu,2018,3,kallakkurichi district,74082,159528000.0
Tamil Nadu,2018,3,viluppuram district,131381,258888000.0
Tamil Nadu,2018,3,pudukkottai district,88258,194004000.0
Tamil Nadu,2018,3,perambalur district,30141,63352500.0
Tamil Nadu,2018,3,coimbatore district,1469560,2559170000.0
Tamil Nadu,2018,3,virudhunagar district,93460,204114000.0
Tamil Nadu,2018,3,dindigul district,169183,369316000.0
Tamil Nadu,2018,3,sivaganga district,83843,201470000.0
Tamil Nadu,2018,3,tenkasi district,79752,137940000.0
Tamil Nadu,2018,3,chengalpattu district,1337462,2362110000.0
Tamil Nadu,2018,3,kanniyakumari district,98676,207728000.0
Tamil Nadu,2018,3,tirunelveli district,129280,265497000.0
Tamil Nadu,2018,3,thiruvallur district,957503,1926380000.0
Tamil Nadu,2018,3,theni district,74842,164986000.0
Tamil Nadu,2018,3,ranipet district,104100,201827000.0
Tamil Nadu,2018,3,namakkal district,226575,464582000.0
Tamil Nadu,2018,3,vellore district,209932,386937000.0
Tamil Nadu,2018,3,thiruvarur district,45989,92064900.0
Tamil Nadu,2018,4,tiruchirappalli district,521026,1117400000.0
Tamil Nadu,2018,4,ramanathapuram district,90608,207229000.0
Tamil Nadu,2018,4,krishnagiri district,593519,1260400000.0
Tamil Nadu,2018,4,cuddalore district,294247,572315000.0
Tamil Nadu,2018,4,kancheepuram district,1161731,2100100000.0
Tamil Nadu,2018,4,tiruppur district,811860,1780230000.0
Tamil Nadu,2018,4,dharmapuri district,247249,536806000.0
Tamil Nadu,2018,4,thoothukkudi district,141155,272819000.0
Tamil Nadu,2018,4,thanjavur district,278646,542256000.0
Tamil Nadu,2018,4,madurai district,474612,1067220000.0
Tamil Nadu,2018,4,tiruvannamalai district,242571,468651000.0
Tamil Nadu,2018,4,salem district,696312,1471380000.0
Tamil Nadu,2018,4,nagapattinam district,96224,186022000.0
Tamil Nadu,2018,4,tirupathur district,143871,291583000.0
Tamil Nadu,2018,4,ariyalur district,62904,129215000.0
Tamil Nadu,2018,4,chennai district,8007699,14632400000.0
Tamil Nadu,2018,4,the nilgiris district,134481,283005000.0
Tamil Nadu,2018,4,erode district,386966,835595000.0
Tamil Nadu,2018,4,karur district,146709,306021000.0
Tamil Nadu,2018,4,kallakkurichi district,126126,268523000.0
Tamil Nadu,2018,4,viluppuram district,214391,408881000.0
Tamil Nadu,2018,4,pudukkottai district,138821,301770000.0
Tamil Nadu,2018,4,perambalur district,50639,104393000.0
Tamil Nadu,2018,4,coimbatore district,1902305,3656790000.0
Tamil Nadu,2018,4,virudhunagar district,157442,327806000.0
Tamil Nadu,2018,4,dindigul district,243534,559787000.0
Tamil Nadu,2018,4,sivaganga district,128594,293589000.0
Tamil Nadu,2018,4,tenkasi district,106431,205217000.0
Tamil Nadu,2018,4,chengalpattu district,1974233,3371040000.0
Tamil Nadu,2018,4,kanniyakumari district,151693,344942000.0
Tamil Nadu,2018,4,tirunelveli district,167911,383033000.0
Tamil Nadu,2018,4,thiruvallur district,1578958,2979680000.0
Tamil Nadu,2018,4,theni district,113542,276986000.0
Tamil Nadu,2018,4,ranipet district,185758,354381000.0
Tamil Nadu,2018,4,namakkal district,297669,682146000.0
Tamil Nadu,2018,4,vellore district,311703,577960000.0
Tamil Nadu,2018,4,thiruvarur district,75304,144518000.0
Tamil Nadu,2019,1,tiruchirappalli district,739515,1460930000.0
Tamil Nadu,2019,1,ramanathapuram district,117510,261213000.0
Tamil Nadu,2019,1,krishnagiri district,848874,1549330000.0
Tamil Nadu,2019,1,cuddalore district,371882,699952000.0
Tamil Nadu,2019,1,kancheepuram district,1732340,2735470000.0
Tamil Nadu,2019,1,tiruppur district,1078231,2186720000.0
Tamil Nadu,2019,1,dharmapuri district,331500,668653000.0
Tamil Nadu,2019,1,thoothukkudi district,180015,359896000.0
Tamil Nadu,2019,1,thanjavur district,405498,669639000.0
Tamil Nadu,2019,1,madurai district,662080,1386370000.0
Tamil Nadu,2019,1,tiruvannamalai district,335517,587601000.0
Tamil Nadu,2019,1,salem district,949562,1916560000.0
Tamil Nadu,2019,1,nagapattinam district,124400,244378000.0
Tamil Nadu,2019,1,tirupathur district,202883,385039000.0
Tamil Nadu,2019,1,ariyalur district,73816,152353000.0
Tamil Nadu,2019,1,chennai district,11642449,18811000000.0
Tamil Nadu,2019,1,the nilgiris district,158492,309833000.0
Tamil Nadu,2019,1,erode district,530256,1057860000.0
Tamil Nadu,2019,1,karur district,185137,377068000.0
Tamil Nadu,2019,1,kallakkurichi district,156496,337610000.0
Tamil Nadu,2019,1,viluppuram district,286859,514030000.0
Tamil Nadu,2019,1,pudukkottai district,184227,348619000.0
Tamil Nadu,2019,1,perambalur district,67010,140622000.0
Tamil Nadu,2019,1,coimbatore district,2709665,5072070000.0
Tamil Nadu,2019,1,virudhunagar district,222473,434594000.0
Tamil Nadu,2019,1,dindigul district,296645,653291000.0
Tamil Nadu,2019,1,sivaganga district,159965,364946000.0
Tamil Nadu,2019,1,tenkasi district,126012,235423000.0
Tamil Nadu,2019,1,chengalpattu district,3285713,4918700000.0
Tamil Nadu,2019,1,kanniyakumari district,181053,403789000.0
Tamil Nadu,2019,1,tirunelveli district,206676,446438000.0
Tamil Nadu,2019,1,thiruvallur district,2305713,3957620000.0
Tamil Nadu,2019,1,theni district,141271,316273000.0
Tamil Nadu,2019,1,ranipet district,275147,468967000.0
Tamil Nadu,2019,1,namakkal district,381248,779612000.0
Tamil Nadu,2019,1,vellore district,521653,796075000.0
Tamil Nadu,2019,1,thiruvarur district,97262,195537000.0
Tamil Nadu,2019,2,tiruchirappalli district,776306,1748260000.0
Tamil Nadu,2019,2,ramanathapuram district,123783,296811000.0
Tamil Nadu,2019,2,krishnagiri district,663016,1504550000.0
Tamil Nadu,2019,2,cuddalore district,338724,724327000.0
Tamil Nadu,2019,2,kancheepuram district,1656532,2936410000.0
Tamil Nadu,2019,2,tiruppur district,1179119,2631890000.0
Tamil Nadu,2019,2,dharmapuri district,323447,750439000.0
Tamil Nadu,2019,2,thoothukkudi district,185632,412772000.0
Tamil Nadu,2019,2,thanjavur district,339651,680121000.0
Tamil Nadu,2019,2,madurai district,741073,1703310000.0
Tamil Nadu,2019,2,tiruvannamalai district,321071,651936000.0
Tamil Nadu,2019,2,salem district,1018100,2340940000.0
Tamil Nadu,2019,2,nagapattinam district,134853,288878000.0
Tamil Nadu,2019,2,tirupathur district,206045,439050000.0
Tamil Nadu,2019,2,ariyalur district,78382,182726000.0
Tamil Nadu,2019,2,chennai district,10577435,20366500000.0
Tamil Nadu,2019,2,the nilgiris district,137469,343730000.0
Tamil Nadu,2019,2,erode district,618730,1395270000.0
Tamil Nadu,2019,2,karur district,179180,416268000.0
Tamil Nadu,2019,2,kallakkurichi district,166891,378430000.0
Tamil Nadu,2019,2,viluppuram district,277403,576611000.0
Tamil Nadu,2019,2,pudukkottai district,142843,321121000.0
Tamil Nadu,2019,2,perambalur district,71612,161198000.0
Tamil Nadu,2019,2,coimbatore district,3191687,7063640000.0
Tamil Nadu,2019,2,virudhunagar district,214026,465085000.0
Tamil Nadu,2019,2,dindigul district,288758,696936000.0
Tamil Nadu,2019,2,sivaganga district,152693,372993000.0
Tamil Nadu,2019,2,tenkasi district,110318,247941000.0
Tamil Nadu,2019,2,chengalpattu district,3719692,5655300000.0
Tamil Nadu,2019,2,kanniyakumari district,207995,466208000.0
Tamil Nadu,2019,2,tirunelveli district,198144,472709000.0
Tamil Nadu,2019,2,thiruvallur district,2486358,4674410000.0
Tamil Nadu,2019,2,theni district,141459,356493000.0
Tamil Nadu,2019,2,ranipet district,252482,511118000.0
Tamil Nadu,2019,2,namakkal district,329353,809609000.0
Tamil Nadu,2019,2,vellore district,527517,961719000.0
Tamil Nadu,2019,2,thiruvarur district,93958,201989000.0
Tamil Nadu,2019,3,tiruchirappalli district,1028271,2283460000.0
Tamil Nadu,2019,3,ramanathapuram district,164056,364511000.0
Tamil Nadu,2019,3,krishnagiri district,906439,1897360000.0
Tamil Nadu,2019,3,cuddalore district,429418,854430000.0
Tamil Nadu,2019,3,kancheepuram district,2374121,3749460000.0
Tamil Nadu,2019,3,tiruppur district,1583318,3459380000.0
Tamil Nadu,2019,3,dharmapuri district,404500,892434000.0
Tamil Nadu,2019,3,thoothukkudi district,251434,514591000.0
Tamil Nadu,2019,3,thanjavur district,499378,862710000.0
Tamil Nadu,2019,3,madurai district,1004838,2163230000.0
Tamil Nadu,2019,3,tiruvannamalai district,408695,788782000.0
Tamil Nadu,2019,3,salem district,1348219,3089950000.0
Tamil Nadu,2019,3,nagapattinam district,182524,374062000.0
Tamil Nadu,2019,3,tirupathur district,280191,551888000.0
Tamil Nadu,2019,3,ariyalur district,102318,210755000.0
Tamil Nadu,2019,3,chennai district,11333032,23024200000.0
Tamil Nadu,2019,3,the nilgiris district,172729,366416000.0
Tamil Nadu,2019,3,erode district,824050,1809430000.0
Tamil Nadu,2019,3,karur district,233312,527606000.0
Tamil Nadu,2019,3,kallakkurichi district,214180,462594000.0
Tamil Nadu,2019,3,viluppuram district,347727,691014000.0
Tamil Nadu,2019,3,pudukkottai district,195452,403435000.0
Tamil Nadu,2019,3,perambalur district,97443,202989000.0
Tamil Nadu,2019,3,coimbatore district,4303835,9457630000.0
Tamil Nadu,2019,3,virudhunagar district,286960,603051000.0
Tamil Nadu,2019,3,dindigul district,411188,865233000.0
Tamil Nadu,2019,3,sivaganga district,203568,461239000.0
Tamil Nadu,2019,3,tenkasi district,149611,316678000.0
Tamil Nadu,2019,3,chengalpattu district,5765425,7255280000.0
Tamil Nadu,2019,3,kanniyakumari district,293582,576372000.0
Tamil Nadu,2019,3,tirunelveli district,266559,571521000.0
Tamil Nadu,2019,3,thiruvallur district,3497534,5790230000.0
Tamil Nadu,2019,3,theni district,182650,415597000.0
Tamil Nadu,2019,3,ranipet district,319434,621746000.0
Tamil Nadu,2019,3,namakkal district,436893,1016900000.0
Tamil Nadu,2019,3,vellore district,776654,1201800000.0
Tamil Nadu,2019,3,thiruvarur district,130645,261636000.0
Tamil Nadu,2019,4,tiruchirappalli district,1364259,2850820000.0
Tamil Nadu,2019,4,ramanathapuram district,217020,466879000.0
Tamil Nadu,2019,4,krishnagiri district,1302647,2599920000.0
Tamil Nadu,2019,4,cuddalore district,554320,1069460000.0
Tamil Nadu,2019,4,kancheepuram district,3134851,4643280000.0
Tamil Nadu,2019,4,tiruppur district,2020118,4339510000.0
Tamil Nadu,2019,4,dharmapuri district,545240,1179250000.0
Tamil Nadu,2019,4,thoothukkudi district,334748,673766000.0
Tamil Nadu,2019,4,thanjavur district,634748,1089380000.0
Tamil Nadu,2019,4,madurai district,1315576,2775350000.0
Tamil Nadu,2019,4,tiruvannamalai district,561787,1076990000.0
Tamil Nadu,2019,4,salem district,1754893,3897470000.0
Tamil Nadu,2019,4,nagapattinam district,234840,461426000.0
Tamil Nadu,2019,4,tirupathur district,385208,757709000.0
Tamil Nadu,2019,4,ariyalur district,135252,270335000.0
Tamil Nadu,2019,4,chennai district,16437269,31810600000.0
Tamil Nadu,2019,4,the nilgiris district,254745,537415000.0
Tamil Nadu,2019,4,erode district,1092587,2315490000.0
Tamil Nadu,2019,4,karur district,303847,651278000.0
Tamil Nadu,2019,4,kallakkurichi district,293430,615206000.0
Tamil Nadu,2019,4,viluppuram district,478192,911152000.0
Tamil Nadu,2019,4,pudukkottai district,250329,513372000.0
Tamil Nadu,2019,4,perambalur district,130104,262954000.0
Tamil Nadu,2019,4,coimbatore district,5937176,11950000000.0
Tamil Nadu,2019,4,virudhunagar district,371435,780409000.0
Tamil Nadu,2019,4,dindigul district,570988,1157560000.0
Tamil Nadu,2019,4,sivaganga district,293949,681274000.0
Tamil Nadu,2019,4,tenkasi district,193559,403714000.0
Tamil Nadu,2019,4,chengalpattu district,7809082,9083460000.0
Tamil Nadu,2019,4,kanniyakumari district,421655,795548000.0
Tamil Nadu,2019,4,tirunelveli district,360780,745395000.0
Tamil Nadu,2019,4,thiruvallur district,4441180,7308500000.0
Tamil Nadu,2019,4,theni district,256489,559543000.0
Tamil Nadu,2019,4,ranipet district,421689,816050000.0
Tamil Nadu,2019,4,namakkal district,559495,1234660000.0
Tamil Nadu,2019,4,vellore district,1053293,1572590000.0
Tamil Nadu,2019,4,thiruvarur district,169631,333129000.0
Tamil Nadu,2020,1,tiruchirappalli district,1199094,2346750000.0
Tamil Nadu,2020,1,ramanathapuram district,268096,551492000.0
Tamil Nadu,2020,1,krishnagiri district,1806032,3381600000.0
Tamil Nadu,2020,1,cuddalore district,669682,1217390000.0
Tamil Nadu,2020,1,kancheepuram district,3618880,5144040000.0
Tamil Nadu,2020,1,tiruppur district,1918620,3829320000.0
Tamil Nadu,2020,1,dharmapuri district,710147,1428770000.0
Tamil Nadu,2020,1,thoothukkudi district,429017,812706000.0
Tamil Nadu,2020,1,thanjavur district,741474,1219040000.0
Tamil Nadu,2020,1,madurai district,1334450,2667510000.0
Tamil Nadu,2020,1,tiruvannamalai district,701438,1285320000.0
Tamil Nadu,2020,1,salem district,1816883,3938970000.0
Tamil Nadu,2020,1,nagapattinam district,286488,547649000.0
Tamil Nadu,2020,1,tirupathur district,497274,918744000.0
Tamil Nadu,2020,1,ariyalur district,165086,313674000.0
Tamil Nadu,2020,1,chennai district,21747309,40923600000.0
Tamil Nadu,2020,1,the nilgiris district,286999,541866000.0
Tamil Nadu,2020,1,erode district,1099499,2216540000.0
Tamil Nadu,2020,1,karur district,295868,575548000.0
Tamil Nadu,2020,1,kallakkurichi district,389050,749830000.0
Tamil Nadu,2020,1,viluppuram district,597802,1047290000.0
Tamil Nadu,2020,1,pudukkottai district,311955,586369000.0
Tamil Nadu,2020,1,perambalur district,145161,268745000.0
Tamil Nadu,2020,1,coimbatore district,6238270,11125600000.0
Tamil Nadu,2020,1,virudhunagar district,479760,905206000.0
Tamil Nadu,2020,1,dindigul district,709993,1404560000.0
Tamil Nadu,2020,1,sivaganga district,325464,668118000.0
Tamil Nadu,2020,1,tenkasi district,243203,464792000.0
Tamil Nadu,2020,1,chengalpattu district,8891884,10378200000.0
Tamil Nadu,2020,1,kanniyakumari district,496514,897558000.0
Tamil Nadu,2020,1,tirunelveli district,456558,862757000.0
Tamil Nadu,2020,1,thiruvallur district,5190597,8255500000.0
Tamil Nadu,2020,1,theni district,317448,663250000.0
Tamil Nadu,2020,1,ranipet district,510180,954319000.0
Tamil Nadu,2020,1,namakkal district,608364,1275350000.0
