States,Years,Quarter,District,Transaction_count,Transaction_amount
Andhra Pradesh,2018,4,anantapur district,2286391,3975880000.0
Andhra Pradesh,2018,4,ysr district,1732527,3252340000.0
Andhra Pradesh,2018,4,west godavari district,1688482,3237500000.0
Andhra Pradesh,2018,4,kurnool district,2508530,3626540000.0
Andhra Pradesh,2018,4,chittoor district,3166201,4979090000.0
Andhra Pradesh,2018,4,guntur district,2546620,4730250000.0
Andhra Pradesh,2018,4,krishna district,2839161,5416250000.0
Andhra Pradesh,2019,1,east godavari district,5440146,7382260000.0
Andhra Pradesh,2019,1,srikakulam district,2526855,3407910000.0
Andhra Pradesh,2019,1,spsr nellore district,3333584,5161930000.0
Andhra Pradesh,2019,1,vizianagaram district,2798241,3364580000.0
Andhra Pradesh,2019,1,visakhapatnam district,9690866,13459900000.0
Andhra Pradesh,2019,1,prakasam district,2931081,4807530000.0
Andhra Pradesh,2019,1,anantapur district,3891336,6044730000.0
Andhra Pradesh,2019,1,ysr district,2852197,4915810000.0
Andhra Pradesh,2019,1,west godavari district,2829437,4623760000.0
Andhra Pradesh,2019,1,kurnool district,4193432,5541560000.0
Andhra Pradesh,2019,1,chittoor district,6486813,8223370000.0
Andhra Pradesh,2019,1,guntur district,4846553,7765930000.0
Andhra Pradesh,2019,1,krishna district,5443981,9061350000.0
Andhra Pradesh,2019,2,east godavari district,4699261,9116400000.0
Andhra Pradesh,2019,2,srikakulam district,2019203,4066580000.0
Andhra Pradesh,2019,2,spsr nellore district,3141891,6880870000.0
Andhra Pradesh,2019,2,vizianagaram district,2272320,4443040000.0
Andhra Pradesh,2019,2,visakhapatnam district,11705738,20797500000.0
Andhra Pradesh,2019,2,prakasam district,2670529,6262400000.0
Andhra Pradesh,2019,2,anantapur district,3578836,7830780000.0
Andhra Pradesh,2019,2,ysr district,2606284,6376860000.0
Andhra Pradesh,2019,2,west godavari district,2402074,5676820000.0
Andhra Pradesh,2019,2,kurnool district,3895824,7358290000.0
Andhra Pradesh,2019,2,chittoor district,5983308,10982700000.0
Andhra Pradesh,2019,2,guntur district,5005275,10405200000.0
Andhra Pradesh,2019,2,krishna district,6428472,13437000000.0
Andhra Pradesh,2019,3,east godavari district,6537303,11387700000.0
Andhra Pradesh,2019,3,srikakulam district,2556296,4610130000.0
Andhra Pradesh,2019,3,spsr nellore district,4150195,8256600000.0
Andhra Pradesh,2019,3,vizianagaram district,2861581,4922070000.0
Andhra Pradesh,2019,3,visakhapatnam district,16694947,26944800000.0
Andhra Pradesh,2019,3,prakasam district,3430750,7354500000.0
Andhra Pradesh,2019,3,anantapur district,4889720,9554080000.0
Andhra Pradesh,2019,3,ysr district,3296586,7447540000.0
Andhra Pradesh,2019,3,west godavari district,3179541,6627630000.0
Andhra Pradesh,2019,3,kurnool district,5139134,9025630000.0
Andhra Pradesh,2019,3,chittoor district,8201783,13837500000.0
Andhra Pradesh,2019,3,guntur district,6942304,13075700000.0
Andhra Pradesh,2019,3,krishna district,8408474,16404100000.0
Andhra Pradesh,2019,4,east godavari district,9285739,16816800000.0
Andhra Pradesh,2019,4,srikakulam district,3712555,6832370000.0
Andhra Pradesh,2019,4,spsr nellore district,5877804,11786000000.0
Andhra Pradesh,2019,4,vizianagaram district,3998234,7175850000.0
Andhra Pradesh,2019,4,visakhapatnam district,23594874,39133300000.0
Andhra Pradesh,2019,4,prakasam district,4865473,10604100000.0
Andhra Pradesh,2019,4,anantapur district,6764112,13887200000.0
Andhra Pradesh,2019,4,ysr district,4793157,10865100000.0
Andhra Pradesh,2019,4,west godavari district,4596479,9710610000.0
Andhra Pradesh,2019,4,kurnool district,7001958,13233100000.0
Andhra Pradesh,2019,4,chittoor district,11246986,19298500000.0
Andhra Pradesh,2019,4,guntur district,9761330,18565600000.0
Andhra Pradesh,2019,4,krishna district,11719402,23039800000.0
Andhra Pradesh,2020,1,east godavari district,11346242,21854700000.0
Andhra Pradesh,2020,1,srikakulam district,4835092,9777580000.0
Andhra Pradesh,2020,1,spsr nellore district,7430247,15387800000.0
Andhra Pradesh,2020,1,vizianagaram district,5042066,9879170000.0
Andhra Pradesh,2020,1,visakhapatnam district,27115031,48809700000.0
Andhra Pradesh,2020,1,prakasam district,6318396,14169100000.0
Andhra Pradesh,2020,1,anantapur district,8466129,17864300000.0
Andhra Pradesh,2020,1,ysr district,6031255,14059900000.0
Andhra Pradesh,2020,1,west godavari district,5919670,12995800000.0
Andhra Pradesh,2020,1,kurnool district,8246869,17022700000.0
Andhra Pradesh,2020,1,chittoor district,13257740,23441800000.0
Andhra Pradesh,2020,1,guntur district,11493331,22992700000.0
Andhra Pradesh,2020,1,krishna district,12175289,24481700000.0
Andhra Pradesh,2020,2,east godavari district,13130334,26319900000.0
Andhra Pradesh,2020,2,srikakulam district,6425515,12153700000.0
Andhra Pradesh,2020,2,spsr nellore district,9454274,20665400000.0
Andhra Pradesh,2020,2,vizianagaram district,6690313,12819300000.0
Andhra Pradesh,2020,2,visakhapatnam district,25300401,48293900000.0
Andhra Pradesh,2020,2,prakasam district,8844580,19846000000.0
Andhra Pradesh,2020,2,anantapur district,10473739,22094000000.0
Andhra Pradesh,2020,2,ysr district,8033609,19597200000.0
Andhra Pradesh,2020,2,west godavari district,7273096,16585900000.0
Andhra Pradesh,2020,2,kurnool district,9821381,22419400000.0
Andhra Pradesh,2020,2,chittoor district,14848197,27361300000.0
Andhra Pradesh,2020,2,guntur district,12308707,27463600000.0
Andhra Pradesh,2020,2,krishna district,12313709,26964100000.0
Andhra Pradesh,2020,3,east godavari district,17972431,39300000000.0
Andhra Pradesh,2020,3,srikakulam district,8286289,18029600000.0
Andhra Pradesh,2020,3,spsr nellore district,16468209,39128300000.0
Andhra Pradesh,2020,3,vizianagaram district,8236703,17567800000.0
Andhra Pradesh,2020,3,visakhapatnam district,34421299,67628400000.0
Andhra Pradesh,2020,3,prakasam district,12266310,31221700000.0
Andhra Pradesh,2020,3,anantapur district,14447683,34102000000.0
Andhra Pradesh,2020,3,ysr district,11934653,32037000000.0
Andhra Pradesh,2020,3,west godavari district,10412351,25408600000.0
Andhra Pradesh,2020,3,kurnool district,13243292,32529400000.0
