States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
Andhra Pradesh,2023,2,Merchant payments,634303064,349602824539
Andhra Pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882
Andhra Pradesh,2023,2,Recharge & bill payments,97202487,88352183038
Andhra Pradesh,2023,2,Financial Services,316533,386071375
Andhra Pradesh,2023,2,Others,379498,409939082
Andhra Pradesh,2023,3,Merchant payments,750265405,395042164275
Andhra Pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936
Andhra Pradesh,2023,3,Recharge & bill payments,101000645,94077774967
Andhra Pradesh,2023,3,Financial Services,361584,466791218
Andhra Pradesh,2023,3,Others,334566,362636702
Andhra Pradesh,2023,4,Merchant payments,822516631,427677236042
Andhra Pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881
Andhra Pradesh,2023,4,Recharge & bill payments,100733697,103186953776
Andhra Pradesh,2023,4,Financial Services,431705,535202901
Andhra Pradesh,2023,4,Others,303079,348636223
Andhra Pradesh,2024,1,Merchant payments,926373997,468462542792
Andhra Pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212
Andhra Pradesh,2024,1,Recharge & bill payments,106564415,106646957337
Andhra Pradesh,2024,1,Financial Services,427720,634184211
Andhra Pradesh,2024,1,Others,298240,316249197
Andhra Pradesh,2024,2,Merchant payments,1068247800,526363160284
Andhra Pradesh,2024,2,Peer-to-peer payments,748553253,2545133436133
Andhra Pradesh,2024,2,Recharge & bill payments,112475183,109301693605
Andhra Pradesh,2024,2,Financial Services,558924,799915709
Andhra Pradesh,2024,2,Others,287140,324214357
Andhra Pradesh,2024,3,Merchant payments,1186825685,569822447748
Andhra Pradesh,2024,3,Peer-to-peer payments,802972632,2555369227206
Andhra Pradesh,2024,3,Recharge & bill payments,100644574,100291968047
Andhra Pradesh,2024,3,Financial Services,633983,857014703
Andhra Pradesh,2024,3,Others,294488,304949785
Andhra Pradesh,2024,4,Merchant payments,1319061337,622805238380
Andhra Pradesh,2024,4,Peer-to-peer payments,872917507,2723665407515
Andhra Pradesh,2024,4,Recharge & bill payments,101888917,104194996949
Andhra Pradesh,2024,4,Financial Services,2255721,977916755
Andhra Pradesh,2024,4,Others,322062,372009367
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184133
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889683
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374
Arunachal Pradesh,2018,1,Financial Services,416,58894
Arunachal Pradesh,2018,1,Others,1990,1834253
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468879
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953
Arunachal Pradesh,2018,2,Financial Services,559,363762
Arunachal Pradesh,2018,2,Others,2043,1842317
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997566
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303
Arunachal Pradesh,2018,3,Merchant payments,4738,5505695
Arunachal Pradesh,2018,3,Financial Services,507,72134
Arunachal Pradesh,2018,3,Others,2039,2044709
